Date/Time: 2017-12-04-15-39-21
Scenario: #1
Device Name: ABPC
Stethoscope ID: 00:06:66:8C:9C:2E
Units: seconds, kPa, mmHg
0.01, 0.47, 3.54
1.02, 0.47, 3.54
2.02, 0.47, 3.54
3.03, 0.47, 3.54
4.03, 0.47, 3.54
5.04, 0.47, 3.54
6.05, 0.47, 3.54
7.05, 0.47, 3.54
8.05, 0.47, 3.54
9.06, 0.47, 3.54
10.07, 0.47, 3.54
11.08, 0.47, 3.54
12.08, 0.47, 3.54
13.09, 0.47, 3.54
14.09, 0.47, 3.54
15.10, 0.47, 3.54
16.11, 0.47, 3.54
17.11, 0.47, 3.54
18.13, 0.47, 3.54
19.13, 0.47, 3.54
20.14, 0.47, 3.54
21.14, 0.47, 3.54
