Date/Time: 2017-12-06-14-52-03
Scenario: #1
Device Name: ABPC
Stethoscope ID: 00:06:66:D0:E4:94
Units: seconds, kPa, mmHg
0.01, 1.70, 12.78
0.52, 1.71, 12.81
1.02, 2.40, 18.01
1.52, 3.02, 22.66
2.02, 3.88, 29.08
2.53, 5.55, 41.63
3.03, 5.73, 43.02
3.53, 7.74, 58.04
4.04, 10.31, 77.34
4.55, 9.62, 72.14
5.05, 12.12, 90.93
5.56, 11.48, 86.13
6.06, 14.27, 107.04
6.57, 14.69, 110.22
7.07, 14.03, 105.23
7.58, 16.82, 126.21
8.08, 13.55, 101.67
8.59, 13.36, 100.25
9.10, 13.26, 99.51
9.60, 13.17, 98.80
10.10, 13.08, 98.11
10.61, 12.99, 97.45
11.11, 12.90, 96.80
11.61, 12.82, 96.19
12.12, 12.74, 95.56
12.62, 12.66, 94.99
13.13, 12.71, 95.32
13.63, 13.21, 99.12
14.13, 13.58, 101.91
14.64, 13.56, 101.75
15.14, 13.45, 100.90
15.65, 13.30, 99.76
16.16, 16.68, 125.10
16.67, 20.24, 151.86
17.17, 19.66, 147.48
17.68, 23.09, 173.27
18.18, 22.63, 169.80
18.69, 22.32, 167.42
19.19, 20.29, 152.26
19.70, 19.33, 145.03
20.20, 18.77, 140.84
20.71, 18.11, 135.86
21.22, 18.03, 135.26
21.72, 17.64, 132.38
22.23, 16.17, 121.32
22.73, 16.00, 120.03
23.24, 13.81, 103.61
23.75, 13.86, 103.98
24.26, 13.80, 103.53
24.77, 12.53, 94.02
25.27, 11.45, 85.87
25.78, 11.23, 84.28
26.29, 9.96, 74.71
26.79, 9.18, 68.90
27.29, 7.97, 59.78
27.80, 8.09, 60.69
28.31, 8.16, 61.23
28.81, 8.20, 61.52
29.31, 8.22, 61.68
29.81, 8.23, 61.73
30.32, 8.23, 61.71
30.83, 8.21, 61.59
31.34, 8.19, 61.41
31.84, 8.16, 61.26
32.35, 8.14, 61.08
32.86, 8.48, 63.59
33.36, 8.32, 62.41
33.87, 7.71, 57.81
34.37, 6.08, 45.59
34.88, 4.36, 32.70
35.39, 4.07, 30.50
35.90, 4.17, 31.30
36.40, 4.20, 31.54
36.90, 3.92, 29.44
37.40, 3.97, 29.77
37.91, 4.00, 30.01
38.42, 4.03, 30.23
38.92, 4.04, 30.31
39.43, 3.85, 28.89
39.94, 2.47, 18.56
40.45, 1.77, 13.27
40.96, 1.41, 10.61
41.46, 1.22, 9.14
41.97, 1.89, 14.15
42.48, 0.98, 7.38
42.98, 0.87, 6.54
43.49, 0.80, 5.98
43.99, 0.75, 5.60
44.50, 0.69, 5.21
45.00, 0.66, 4.94
45.51, 0.62, 4.65
46.01, 0.59, 4.40
46.52, 0.56, 4.20
47.03, 0.54, 4.07
47.53, 0.54, 4.02
48.03, 0.51, 3.80
48.54, 0.50, 3.73
49.04, 0.48, 3.63
