Date/Time: 2017-12-04-15-28-19
Scenario: #1
Device Name: ABPC
Stethoscope ID: 00:06:66:8C:D3:F6
Units: seconds, kPa, mmHg
0.01, 0.47, 3.54
1.01, 0.47, 3.54
2.02, 0.47, 3.54
3.02, 0.47, 3.54
4.03, 0.47, 3.54
5.03, 0.47, 3.54
6.03, 0.47, 3.54
7.04, 0.47, 3.54
8.04, 0.47, 3.54
9.04, 0.47, 3.54
10.05, 0.47, 3.54
11.05, 0.47, 3.54
12.05, 0.47, 3.54
13.06, 0.47, 3.54
14.06, 0.47, 3.54
15.07, 0.47, 3.54
16.08, 0.47, 3.54
17.08, 0.47, 3.54
18.08, 0.47, 3.54
19.08, 0.47, 3.54
20.08, 0.47, 3.54
21.09, 0.47, 3.54
22.10, 0.47, 3.54
23.11, 0.47, 3.54
24.12, 0.47, 3.54
25.12, 0.47, 3.54
26.13, 0.47, 3.54
27.14, 0.47, 3.54
28.15, 0.47, 3.54
29.15, 0.47, 3.54
30.15, 0.47, 3.54
31.15, 0.65, 4.88
32.15, 0.47, 3.54
33.15, 0.47, 3.54
