Date/Time: 2017-12-04-14-32-31
Scenario: #1
Device Name: ABPC
Stethoscope ID: 00:06:66:8C:D3:F6
Units: seconds, kPa, mmHg
0.01, 0.47, 3.54
1.02, 0.47, 3.54
2.02, 0.47, 3.54
3.03, 0.47, 3.54
4.04, 0.47, 3.54
5.05, 0.47, 3.54
6.05, 0.47, 3.54
7.06, 0.47, 3.54
8.07, 0.47, 3.54
9.07, 0.47, 3.54
10.08, 0.47, 3.54
11.08, 0.47, 3.54
12.09, 0.47, 3.54
13.09, 0.47, 3.54
14.10, 0.47, 3.54
15.10, 0.47, 3.54
16.11, 0.47, 3.54
17.11, 0.47, 3.54
18.11, 0.47, 3.54
19.11, 0.47, 3.54
20.12, 0.47, 3.54
21.12, 0.47, 3.54
22.12, 0.47, 3.54
23.14, 0.47, 3.54
24.14, 0.47, 3.54
25.14, 0.47, 3.54
26.15, 0.47, 3.54
27.15, 0.47, 3.54
28.15, 0.47, 3.54
29.15, 0.47, 3.54
30.16, 0.47, 3.54
31.16, 0.47, 3.54
32.16, 0.47, 3.54
33.17, 0.47, 3.54
34.18, 0.47, 3.54
35.18, 0.47, 3.54
