Date/Time: 2017-12-04-15-19-45
Scenario: #1
Device Name: ABPC
Stethoscope ID: 00:06:66:8C:D3:F6
Units: seconds, kPa, mmHg
0.01, 0.47, 3.54
1.02, 0.47, 3.54
2.02, 0.47, 3.54
3.03, 0.47, 3.54
4.04, 0.47, 3.54
5.05, 0.47, 3.54
6.06, 0.47, 3.54
7.06, 0.51, 3.85
8.06, 0.47, 3.54
9.07, 0.47, 3.54
10.07, 0.47, 3.54
11.08, 0.47, 3.54
12.08, 0.47, 3.54
13.09, 0.47, 3.54
14.09, 0.47, 3.54
15.09, 0.47, 3.54
16.09, 0.47, 3.54
17.10, 0.47, 3.54
18.11, 0.47, 3.54
19.11, 0.47, 3.54
20.12, 0.47, 3.54
21.12, 0.47, 3.54
22.12, 0.47, 3.54
23.12, 0.47, 3.54
24.13, 0.47, 3.54
25.13, 0.47, 3.54
26.14, 0.47, 3.54
27.15, 0.47, 3.54
28.16, 0.47, 3.54
29.16, 0.47, 3.54
30.16, 0.47, 3.54
31.17, 0.47, 3.54
32.17, 0.47, 3.54
33.17, 0.47, 3.54
34.18, 0.47, 3.54
35.19, 0.47, 3.54
36.20, 0.47, 3.54
37.20, 0.47, 3.54
38.20, 0.47, 3.54
39.20, 0.47, 3.54
40.20, 0.47, 3.54
41.21, 0.47, 3.54
42.22, 0.47, 3.54
43.23, 0.47, 3.54
44.23, 0.47, 3.54
45.24, 0.74, 5.57
46.24, 0.47, 3.54
47.25, 0.47, 3.54
Date/Time: 2017-12-04-15-41-16
Scenario: #1
Device Name: ABPC
Stethoscope ID: 00:06:66:8C:9C:2E
Units: seconds, kPa, mmHg
