Date/Time: 2018-02-23-13-19-05
Scenario: #1
Device Name: ABPC
Stethoscope ID: 00:06:66:D0:C9:A5
Units: seconds, kPa, mmHg
0.18, 0.47, 3.54
0.44, 0.47, 3.54
0.69, 0.47, 3.54
0.95, 0.47, 3.54
1.20, 0.47, 3.54
1.46, 0.47, 3.54
1.71, 0.47, 3.54
1.97, 0.47, 3.54
2.22, 0.47, 3.54
2.48, 0.47, 3.54
2.73, 0.47, 3.54
2.99, 0.47, 3.54
3.25, 0.47, 3.54
3.51, 0.47, 3.54
3.76, 0.47, 3.54
4.01, 0.47, 3.54
4.27, 0.47, 3.54
4.52, 0.47, 3.54
4.77, 0.47, 3.54
5.03, 0.47, 3.54
5.28, 0.47, 3.54
5.53, 0.47, 3.54
5.78, 0.47, 3.54
6.03, 0.47, 3.54
6.29, 0.47, 3.54
6.55, 0.47, 3.54
6.80, 0.47, 3.54
7.05, 0.47, 3.54
7.31, 0.47, 3.54
7.56, 0.47, 3.54
7.82, 0.47, 3.54
8.07, 0.47, 3.54
8.33, 0.47, 3.54
8.58, 0.47, 3.54
8.83, 0.47, 3.54
9.09, 0.48, 3.62
9.35, 0.47, 3.55
9.60, 0.47, 3.55
9.85, 0.47, 3.54
10.11, 0.47, 3.54
10.37, 0.47, 3.54
10.62, 0.47, 3.54
10.88, 0.50, 3.74
11.14, 0.50, 3.77
11.40, 0.49, 3.68
11.65, 0.52, 3.88
11.90, 0.53, 3.95
12.16, 0.56, 4.21
12.42, 0.58, 4.34
12.68, 0.50, 3.79
12.93, 0.54, 4.02
13.19, 0.54, 4.04
13.44, 0.55, 4.15
13.70, 0.56, 4.23
13.96, 0.55, 4.10
14.21, 0.47, 3.54
14.47, 0.47, 3.54
14.72, 0.55, 4.12
14.97, 0.70, 5.28
15.23, 0.77, 5.74
15.48, 0.61, 4.56
15.74, 0.52, 3.93
15.99, 0.54, 4.06
16.25, 0.55, 4.15
16.51, 0.67, 5.00
16.76, 0.67, 5.05
17.02, 0.53, 3.99
17.28, 0.67, 5.03
17.53, 0.70, 5.28
17.78, 0.73, 5.49
18.03, 0.74, 5.54
18.28, 0.74, 5.54
18.54, 0.73, 5.46
18.79, 0.73, 5.46
19.04, 0.75, 5.65
19.29, 0.76, 5.71
19.54, 0.69, 5.16
19.80, 0.73, 5.47
20.05, 0.88, 6.64
20.31, 0.56, 4.17
20.57, 0.49, 3.68
20.82, 0.50, 3.73
21.07, 0.57, 4.25
21.33, 0.60, 4.48
21.59, 0.53, 3.96
21.84, 0.50, 3.79
22.10, 0.51, 3.84
22.35, 0.47, 3.54
22.61, 0.52, 3.87
22.86, 0.58, 4.39
23.12, 0.59, 4.45
23.37, 0.54, 4.07
23.63, 0.54, 4.04
23.88, 0.59, 4.45
24.13, 0.60, 4.50
24.39, 0.55, 4.12
24.64, 0.52, 3.91
24.90, 0.47, 3.54
25.16, 0.47, 3.54
25.41, 0.51, 3.80
25.66, 0.51, 3.82
25.92, 0.54, 4.06
26.17, 0.50, 3.76
26.43, 0.57, 4.29
26.68, 0.66, 4.92
26.94, 0.69, 5.17
27.19, 0.62, 4.67
27.44, 0.60, 4.48
27.70, 0.58, 4.34
27.95, 0.70, 5.22
28.21, 0.72, 5.39
28.46, 0.69, 5.16
28.72, 0.85, 6.39
28.97, 0.53, 3.96
29.23, 0.48, 3.57
29.49, 0.47, 3.54
29.74, 0.48, 3.57
29.99, 0.48, 3.57
30.24, 0.49, 3.68
30.50, 0.47, 3.54
30.75, 0.47, 3.55
31.00, 0.47, 3.54
31.26, 0.47, 3.54
31.51, 0.47, 3.54
31.77, 0.47, 3.54
32.02, 0.47, 3.54
32.28, 0.49, 3.66
32.54, 0.49, 3.65
32.79, 0.48, 3.58
33.05, 0.47, 3.54
33.31, 0.47, 3.54
33.56, 0.47, 3.54
33.82, 0.47, 3.54
34.07, 0.47, 3.54
34.33, 0.53, 3.95
34.58, 0.57, 4.31
34.84, 0.58, 4.34
35.09, 0.54, 4.06
35.35, 0.56, 4.18
35.60, 0.56, 4.18
35.86, 0.55, 4.13
